Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
499;;MARQUESINA MOD XXI 5-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 284;ESQ C/ ELADIO LOPEZ VILCHES;M-40;ARTURO SORIA, CALLE Nº284 ANT C/ ELADIO LOPEZ VILCHES - M-40;443525;4480702;SI;7/29/107/;443415,6021;4480494,503;-3,667521796;40,47320543
502;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;SAN LUIS;AV;Nº 0;ESQ C/ ARTURO SORIA;C/ ARTURO SORIA;SAN LUIS, AV ANT C/ ARTURO SORIA - C/ ARTURO SORIA;443494;4480985;SI;7/107/;443384,6046;4480777,505;-3,667912709;40,47575273
503;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;SAN LUIS;AV;Nº 0;ESQ. C/MARQUES DE ALTAMIRA;PZA. SANTOS. HUMOSA;SAN LUIS, AV ANT C/MARQUES DE ALTAMIRA - PZA SANTOS DE LA HUMOSA;443670;4480867;SI;7/107/125/N1/;443560,6029;4480659,502;-3,665826024;40,47470168
507;;MARQUESINA MOD XXI 5-M STD;16;HORTALEZA;CUEVAS DE ALMANZORA;CALLE;Nº 2;FTE Nº 113;ROQUETAS DE MAR;CUEVAS DE ALMANZORA, CALLE Nº2 FTE Nº 113 - C/ ROQUETAS DE MAR;444098;4480953;SI;7/29/129/N1/;443988,602;4480745,496;-3,660784754;40,47550533
508;;MARQUESINA MOD XXI 5-M REDUCIDA ;16;HORTALEZA;CUEVAS DE ALMANZORA;CALLE;Nº 18;JTO IGLESIA JESUS DE NAZARET;ROQUETAS DE MAR;CUEVAS DE ALMANZORA, CALLE Nº18 JTO IGLESIA JESUS DE NAZARET - C/ ROQUETAS DE MAR;444266;4481107;SI;7/29/129/N1/;444156,6027;4480899,495;-3,65881648;40,47690393
509;;MARQUESINA MOD XXI 5-M STD;16;HORTALEZA;ALICUN;CALLE;Nº 14;PROX. C/ VELEZ RUBIO;C/ VELEZ RUBIO;ALICUN, CALLE Nº14 ANT C/ VELEZ RUBIO - C/ VELEZ RUBIO;444221;4481352;SI;7/29/129/;444111,605;4481144,497;-3,659368903;40,479108
512;;MARQUESINA MOD XXI 4-M REDUCIDA;16;HORTALEZA;BACARES;CALLE;Nº 0;ANT C/ CUEVAS ALMANZORA;CUEVAS ALMANZORA;BACARES, CALLE ANT C/ CUEVAS ALMANZORA - C/ CUEVAS DE ALMANZORA ;444057;4480944;SI;7/;443947,6021;4480736,497;-3,661267618;40,47542149
517;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;Nº 210;ESQ AV RAMON Y CAJAL;PIO XII;PRINCIPE DE VERGARA, CALLE Nº210 ANT AV RAMON Y CAJAL - AV PIO XII;442667;4478281;SI;16/29/;442557,5844;4478073,502;-3,677423968;40,45133707
522;;MARQUESINA MOD XXI 5-M REDUCIDA;7;CHAMBERI;FERNANDEZ DE LOS RIOS;CALLE;Nº 37;ESQ C/ VALLEHERMOSO 25MTS.;BRAVO MURILLO;FERNANDEZ DE LOS RIOS, CALLE Nº37 ANT C/ VALLEHERMOSO - C/ BRAVO MURILLO;439972;4476494;SI;16/61/;439862,5803;4476286,527;-3,709034985;40,43504863
532;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;MARIA DE MOLINA;CALLE;Nº 14;PROXIMO C/SERRANO;AVD AMERICA;MARIA DE MOLINA, CALLE Nº14 PROXIMO C/SERRANO AVD AMERICA;441817;4476775;SI;12/16/N1/;441707,5736;4476567,506;-3,687309343;40,43771119
537;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;GENERAL ORAA;CALLE;Nº 1;ESQ GLTA E.CASTELAR;GRAL E.CASTELAR;GENERAL ORAA, CALLE Nº1 ESQ GLTA E.CASTELAR GRAL E.CASTELAR;441755;4476569;SI;16/61/;441645,5718;4476361,505;-3,688021421;40,43585109
542;;MARQUESINA MOD XXI 4-M ESTRECHA CON LUMINARIA;7;CHAMBERI;FERNANDO EL CATOLICO;CALLE;Nº 52;;C/ ARCIPRESTE HITA;FERNANDO EL CATOLICO, CALLE Nº52 - C/ ARCIPRESTE HITA;439643;4476415;SI;16/61/;439533,5811;4476207,53;-3,712906167;40,43431315
545;;MARQUESINA MOD XXI 5-M STD;1;CENTRO;TOLEDO;CALLE;Nº 54;ANT PZA DE LA CEBADA;GTA PIRAMIDES;TOLEDO, CALLE Nº54 ANT PZA DE LA CEBADA - GTA PIRAMIDES;440008;4473880;SI;002/17/18/23/35/N26/S.E/;439898,5516;4473672,512;-3,708363837;40,41150301
548;;MARQUESINA MOD XXI 4-M STD;1;CENTRO;TOLEDO;CALLE;Nº 99;ESQ. C/ BASTERO;PZA. MAYOR;TOLEDO, CALLE Nº99  ESQ. C/ BASTERO PZA. MAYOR;439891;4473662;SI;002/17/18/23/35/N26/;439781,5498;4473454,512;-3,709722104;40,40953071
551;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;PONTONES;Pº;Nº 29;ESQ PZA FRANCISCO MORENO;PUERTA TOLEDO;PONTONES, Pº Nº29 ESQ PZA FRANCISCO MORENO PUERTA TOLEDO;439398;4473127;SI;17/41/N16/;439288,5464;4472919,515;-3,715481073;40,4046754
554;;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;ERMITA DEL SANTO;Pº;Nº 0;ANT C/ SAN AMBROSIO;PUENTE SEGOVIA;ERMITA DEL SANTO, Pº Nº0 ANTES C/ SAN AMBROSIO PUENTE SEGOVIA;438620;4473036;SI;17/25/N16/;438510,5493;4472828,524;-3,724640244;40,40379861
558;;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;VIA CARPETANA;CALLE;Nº 53;PASADO EL CANODROMO;Pº ERMITA DEL SANTO;VIA CARPETANA, CALLE Nº53 PASADO EL CANODROMO Pº ERMITA DEL SANTO;437744,07;4472437,526;SI;17/25/N16/;437634,6171;4472230,057;-3,73490349;40,39834221
