TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;CALLE DE LA FUENTE CARRANTONA, 29;CALLE;DE LA;FUENTE CARRANTONA;Número;29;446331.6318;4473038.977;40.40623538;-3.63249389;CALLE DE LA FUENTE CARRANTONA, 29;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;145;FONTARRON;CALLE DEL PICO DE LOS ARTILLEROS, 160;CALLE;DEL;PICO DE LOS ARTILLEROS;Número;160;445417.1032;4472596.126;40.40218645;-3.6432332;CALLE DEL PICO DE LOS ARTILLEROS, 160;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;AVENIDA DEL DOCTOR GARCIA TAPIA, 123;AVENIDA;DEL;DOCTOR GARCIA TAPIA;Número;123;445601.6003;4473472.072;40.41008958;-3.64113399;AVENIDA DEL DOCTOR GARCIA TAPIA, 123;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;AVENIDA DEL DOCTOR GARCIA TAPIA, 118;AVENIDA;DEL;DOCTOR GARCIA TAPIA;Número;118;445007.5525;4473700.5;40.41210836;-3.6481547;AVENIDA DEL DOCTOR GARCIA TAPIA, 118;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;CALLE DE MARIO CABRE, 23;CALLE;DE;MARIO CABRE;Número;23;446138.4391;4473102.969;40.40679938;-3.63477599;CALLE DE MARIO CABRE, 23;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;144;MEDIA LEGUA;CALLE DEL ALCALDE GARRIDO JUARISTI, 15;CALLE;DEL;ALCALDE GARRIDO JUARISTI;Número;15;444303.0528;4473956.831;40.41437069;-3.65648004;CALLE DEL ALCALDE GARRIDO JUARISTI, 15;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;145;FONTARRON;CALLE DEL ARROYO FONTARRON, 179;CALLE;DEL;ARROYO FONTARRON;Número;179;445283.4757;4472105.063;40.39775389;-3.64476564;CALLE DEL ARROYO FONTARRON, 179;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;141;PAVONES;CALLE DEL ARROYO FONTARRON, 425;CALLE;DEL;ARROYO FONTARRON;Número;425;446137.6389;4471784.719;40.39492372;-3.63467389;CALLE DEL ARROYO FONTARRON, 425;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;03;RETIRO;035;JERONIMOS;CALLE DE RUIZ DE ALARCON, 15;CALLE;DE;RUIZ DE ALARCON;Número;15;441337.7165;4474100.018;40.41545687;-3.69144225;CALLE DE RUIZ DE ALARCON, 15;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;03;RETIRO;035;JERONIMOS;CALLE DE LA ACADEMIA, 11;CALLE;DE LA;ACADEMIA;Número;11;441511.7298;4474025.766;40.41480022;-3.6893845;CALLE DE LA ACADEMIA, 11;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;03;RETIRO;035;JERONIMOS;CALLE DE MORETO, 12;CALLE;DE;MORETO;Número;12;441425.3319;4473821.981;40.41295834;-3.69038401;CALLE DE MORETO, 12;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
